Song,Artist,Lyrics,Year
higher,creed, when dreaming im guided to another world time and time again at sunrise i fight to stay asleep cause i dont want to leave the comfort of this place cause theres a hunger a longing to escape from the life i live when im awake so lets go there lets make our escape come on lets go there lets ask can we staycan you take me higher to the place where blind men see can you take me higher to the place with golden streetsalthough i would like our world to change it helps me to appreciate those nights and those dreams but my friend id sacrifice all those nights if i could make the earth and my dreams the same the only difference is to let love replace all our hate so lets go there lets make our escape come on lets go there lets ask can we staycan you take me higher to the place where blind men see can you take me higher to the place with golden streetsso lets go there so lets go there come on lets go there lets ask can we stayup high i feel like im alive for the very first time set up high im strong enough to take these dreams and make them mineset up high im strong enough to take these dreams and make them minecan you take me higher to the place where blind men see can you take me higher to the place with golden streetscan you take me higher to the place where blind men see can you take me higher to the place with golden streets ,2000
try again,aaliyah, its been a long time long time we shouldnt of left you left you without a dope beat to step to its been a long time long time we shouldnt of left you left you without a dope beat to step towhat would you do to get to me what would you say to have your way would you give it up or try again if i hesitate to let you in now would you be yourself or play a role tell all the boys or keep it low if i say no would you turn away or play me off or would you stay ohif at first you dont succeed first you dont succeed dust yourself off and try again you can dust it off and try again try again cause if at first you dont succeed first you dont succeed you can dust it off and try again dust yourself off and try again try againim into you you into me but i cant let it go so easily not till i see where this could be could be eternally or just week you know our chemistry its off the chain its perfect now but will it change this aint a yes this aint a no just do your thang and well see how it goes oohif at first you dont succeed first you dont succeed dust yourself off and try again you can dust it off and try again try again cause if at first you dont succeed first you dont succeed you can dust it off and try again dust yourself off and try again try againsee you dont wanna throw it all away i might be shy on the first day what about the next day huh huh huh huh see you dont wanna throw it all away i might be buggin on the first day but what about the next day huh huh huh huhand if at first you dont succeed first you dont succeed dust yourself off and try again you can dust it off and try again try again cause if at first you dont succeed first you dont succeed you can dust it off and try again dust yourself off and try again try againand if at first you dont succeed first you dont succeed yeah dust yourself off and try again you can you can dust it off and try again try again cause if at first you dont succeed first you dont succeed you can dust it off and try again again yeah dust yourself off and try again try againand if at first you dont succeed first you dont succeed dust yourself off and try again again you can dust it off and try again try again cause if at first you dont succeed first you dont succeed baby you can dust it off and try again yeah dust yourself off and try again try again again againits been a long time long time without a dope beat to step to its been a long time we shouldnt of left you left you without a dope beat to step toand if at first you dont succeed first you dont succeed dust yourself off and try again again you can dust it off and try again try again cause if at first you dont succeed first you dont succeed you can dust it off and try again yeah dust yourself off and try again try again try againits been a long time long time we shouldnt of left you left you without a dope beat to step to its been a long time we shouldnt of left you left you without a dope beat to step to ,2000
jumpin jumpin,destinys child, ladies leave yo man at home the club is full of ballas and they pockets full grown and all you fellas leave yo girl with her friends cause its 1130 and the club is jumpin jumpinboys say you got a girl yes true you got a man but the party aint gonna stop so lets make it hot hotlast week and you stayed at home alone and lonely couldnt find yo man he was chillin with his homies this week and your goin out if he try to stop you your goin offyou got ya hair done and ya nails done too and your outfit and your fittin the shoes who parlayin at the hottest spot tonight youre gonna find the brothas rollin in the lexus trucks and hummersboys say you got a girl yes true you got a man but the party aint gonna stop so lets make it hot hotladies leave yo man at home the club is full of ballas and they pockets full grown and all you fellas leave yo girl with her friends cause its 1130 and the club is jumpin jumpinladies leave yo man at home the club is full of ballas and they pockets full grown and all you fellas leave yo girl with her friends cause its 1130 and the club is jumpin jumpinboys say you got a girl yes true you got a man but the party aint gonna stop so lets make it hot hotcall your boys cause tonight youre not gonna stay at home so tell your girl she aint coming tonight youre goin solo cut her off cause she talks the noise you know youve got the right to get your party on so get your hair cutand your car washed too lookin like a star your armani suit you need to look your best cause youre turnin heads tonight youre gonna find a sexy chica thats gonna dance all night if you wannaboys say you got a girl yes true you got a man but the party aint gonna stop so lets make it hot hotladies leave yo man at home the club is full of ballas and they pockets full grown and all you fellas leave yo girl with her friends cause its 1130 and the club is jumpin jumpinladies leave yo man at home the club is full of ballas and they pockets full grown and all you fellas leave yo girl with her friends cause its 1130 and the club is jumpin jumpinsexy women do your dance fly ladies work yo man all them fellas time to clown we can get down nowbounce with me bounce bounce bounce twirk it twirk it shake baby shake shake shake work it work it twist baby twist twist twist you better dip that thangbounce with me bounce bounce bounce twirk it twirk it shake baby shake shake shake work it work it twist baby twist twist twist you better dip that thangsexy women do your dance fly ladies work yo man all them fellas time to clown we can get down nowladies leave yo man at home the club is full of ballas and they pockets full grown and all you fellas leave yo girl with her friends cause its 1130 and the club is jumpin jumpinladies leave yo man at home the club is full of ballas and they pockets full grown and all you fellas leave yo girl with her friends cause its 1130 and the club is jumpin jumpinladies leave yo man at home the club is full of ballas and they pockets full grown and all you fellas leave yo girl with her friends cause its 1130 and the club is jumpin jumpinladies leave yo man at home the club is full of ballas and they pockets full grown and all you fellas leave yo girl with her friends cause its 1130 and the club is jumpin jumpinim thinking about my man tonight im worried about my girlall you ladies leave yo man at home the club is full of ballas and they pockets full grown and all you fellas leave yo girl with her friends cause its 1130 and the club is jumpin jumpinladies leave yo man at home the club is full of ballas and they pockets full grown and all you fellas leave yo girl with her friends cause its 1130 and the club is jumpin jumpinthose who say my name ,2000
thong song,sisqo, this thing right here is lettin all the ladies know what guys talk about you know the finer things in life a heh heh heh check it outooh that dress so scandalous and you know another nigga cant handle it so you shakin that thang like whos the ish with a look in yer eyes so devilish uhyou like to dance on the hip hop spots and you cruise to crews to connect the dots not just urban she like the pop cause she was livin la vida locashe had dumps like a truck truck truck thighs like what what what baby move your butt butt butt i think ill sing it againshe had dumps like a truck truck truck thighs like what what what all night long let me see that thongi like it when the beat goes duh dun duh baby make your booty go duh dun duh baby i know you want to show duh dun duh that thong thong thong thong thongi like it when the beat goes duh dun duh baby make your booty go duh dun duh baby i know you want to show duh dun duh that thong thong thong thong thongthat girl so scandalous and i know another nigga cant handle it and she shakin that thing like whos the ish with a look in her eyes so devilishshe like to dance on the hip hop spots and she cruise to the groove like connect the dots not just urban she like the pop cause she was livin la vida locashe had dumps like a truck truck truck thighs like what what what baby move your butt butt butt i think ill sing it againshe had dumps like a truck truck truck thighs like what what what all night long let me see that thongi like it when the beat goes duh dun duh baby make your booty go duh dun duh baby i know you want to show duh dun duh that thong thong thong thong thong i like it when the beat goes duh dun duh baby make your booty go duh dun duh baby i know you want to show duh dun duh that thong thong thong thong thong i like it when the beat goes duh dun duh baby make your booty go duh dun duh baby i know you want to show duh dun duh that thong thong thong thong thong i like it when the beat goes duh dun duh baby make your booty go duh dun duh baby i know you want to show duh dun duh that thong thong thong thong thongthat dress so scandalous i swear another nigga couldnt handle it when you shakin that thing like whose the ish with a look in your eyes do devilish uhyou like to dance on the hip hop spots then you cruise to the grooves to connect the dots not just urban you like the pop cause she was livin la vida loca she had dumps like a truck truck truck thighs like what what what baby move your butt butt butt uh i think ill sing it againcause she had dumps like a truck truck truck thighs like what what what baby move your butt butt butt uh i think ill sing it againcmon cmon cmon cmoni like it when the beat goes duh dun duh baby make your booty go duh dun duh baby i know you want to show duh dun duh that thong thong thong thong thong i like it when the beat goes duh dun duh baby make your booty go duh dun duh baby i know you want to show duh dun duh that thong thong thong thong thong i like it when the beat goes duh dun duh baby make your booty go duh dun duh baby i know you want to show duh dun duh that thong thong thong thong thong i like it when the beat goes duh dun duh baby make your booty go duh dun duh baby i know you want to show duh dun duh that thong thong thong thong thong i like it when the beat goes duh dun duh baby make your booty go duh dun duh baby i know you want to show duh dun duh that thong thong thong thong thongduh dun duh duh dun duh duh dun duh thong thong thong thong thongduh dun duh duh dun duh duh dun duh thong thong thong thong thongi like it when the beat goes duh dun duh baby make your booty go duh dun duh baby i know you want to show duh dun duh that thong thong thong thong thong i like it when the beat goes duh dun duh baby make your booty go duh dun duh baby i know you want to show duh dun duh that thong thong thong thong thong i like it when the beat goes duh dun duh baby make your booty go duh dun duh baby i know you want to show duh dun duh that thong thong thong thong thong ,2000
kryptonite,3 doors down, i took a walk around the world to ease my troubled mind i left my body lying somewhere in the sands of time i watched the world float to the dark side of the moon i feel there is nothing i can do yeahi watched the world float to the dark side of the moon after all i knew it had to be something to do with you i really dont mind what happens now and then as long as youll be my friend at the endif i go crazy then will you still call me superman if im alive and well will you be there holding my hand ill keep you by my side with my superhuman might kryptoniteyou call me strong you call me weak but still your secrets i will keep you took for granted all the times i never let you downyou stumbled in and bumped your head if not for me then youd be dead i picked you up and put you back on solid groundif i go crazy then will you still call me superman if im alive and well will you be there holding my hand ill keep you by my side with my superhuman might kryptoniteif i go crazy then will you still call me superman if im alive and well will you be there holding my hand ill keep you by my side with my superhuman might kryptonite yeahif i go crazy then will you still call me superman if im alive and well will you be there holding my hand ill keep you by my side with my superhuman might kryptonite ,2000
there you go,pink, please dont come around talkin bout that you love me cause that love shit just aint for me i dont wanna hear that you adore me and i know that all youre doing is running your mind games dont you know that game beats game so your best bet is to be straight with meso you say you wanna talk lets talk if you wont talk ill walk yeah its like that got a new man hes waiting out back now what whatcha think about that now when i say im through im through basically im through with you whatcha wanna say had to have it your way had to play games now youre begging me to staythere u go lookin pitiful just because i let you go there u go talkin bout you want me back but sometimes it bes like that so there u go talkin bout you miss me so that you love me so why i let you go yeah you know cause your lies got old look at you there u goplease dont come around talkin bout how you changed how you said goodbye to whats her name all it sounds like to me is new game and i was right when i thought id be much better off without you had to get myself from round you cause my life was all about youso you say you wanna talk i dont say you wanna change i wont yeah its like that had your chance wont take you back now what whatcha think about that when i say im through im through basically im through with you whatcha wanna say had to have it your way had to play games now youre begging me to staythere u go lookin pitiful just because i let you go there u go talkin bout you want me back but sometimes it bes like that so there u go talkin bout you miss me so that you love me so why i let you go yeah you know cause your lies got old look at you there u gooooh dont you wish you could turn the hands of time dont you wish that you still were mine dont you wish id take you back dont you wish that things were simple like that didnt miss a good thing til its gone but i knew it wouldnt be long til you came running back missing my love there you go ,2000
music,madonna, hey mister dj put a record on i want to dance with my babyhey mister dj put a record on i want to dance with my baby and when the music starts i never want to stop its gonna drive me crazymusicmusic makes the people come together music makes the bourgeoisie and the rebeldont think of yesterday and i dont look at the clock i like to boogiewoogie uh uh its like riding on the wind and it never goes away touches everything im in got to have it everydaymusic makes the people come together music makes the bourgeoisie and the rebelhey mister djhey mister dj put a record on i want to dance with my baby and when the music starts i never want to stop its gonna drive me crazy uh uh uhmusic makes the people come together music makes the bourgeoisie and the rebel ,2000
doesnt really matter,janet jackson, doesnt matter what your friends are telling you doesnt matter what my familys saying too it just matters that im in love with you it only matters that you love me tooit doesnt matter if they wont accept you im accepting of you and the things you do just as long as its you nobody but you baby babymy love for you unconditional love too gotta get up get up get up get up get up and show you that itdoesnt really matter what the eye is seeing cause im in love with the inner being and it doesnt really matter what they believe what matters to me is youre in love with medoesnt really matter what the eye is seeing cause im in love with the inner being and it doesnt really matter what they believe what matters to me is youre nuttynuttynutty for meyoure so kind just what i asked for youre so loving and kind and youre mine and i cant believe youre minedoesnt matter if youre feeling insecure doesnt matter if youre feeling so unsure cause ill take away the doubt within your heart and show that my love will never hurt or harmdoesnt matter what the pain we go through doesnt matter if the moneys gone too just as long as im with you nobody but you baby babyyoure love for me unconditional i see gotta get up get up get up get up get up and show you that itget itdoesnt really matter what the eye is seeing cause im in love with the inner being and it doesnt really matter what they believe what matters to me is youre in love with medoesnt really matter what the eye is seeing cause im in love with the inner being and it doesnt really matter what they believe what matters to me is youre nuttynuttynutty for meyoure so kind just what i asked for youre so loving and kind and youre mine and i cant believe youre minerock mix cause now im gonna love you cause my love will alwaysmy love for you unconditional love too gotta get up get up get up get up get up and show you that my love is true and its just for you uhnuttynuttynutty my love for you i cant believe my dreams come true ive finally found somebody whose heart is true and best of all youre nuttynuttynutty for mewhoa whoa whoa whoa whoa whoa whoa whoa whoanuttynuttynutty my love for you i cant believe my dreams come true ive finally found somebody whose heart is true and best of all you love me toonuttynuttynutty my love for you i cant believe my dreams come true ive finally found somebody whose heart is true and best of all youre nuttynuttynutty for me ,2000
what a girl wants,christina aguilera, what a girl wants what a girl needs whatever makes me happy sets you free what a girl wants what a girl needs whatever keeps me in your arms yeah cmoni wanna thank you for givin me time to breathe like a rock you waited so patiently while i got it together while i figured it outi only looked but i never touched cause in my heart was a picture of us holdin hands makin plans and its lucky for me you understandwhat a girl wants what a girl needs whatever makes me happy sets you free and im thankin you for knowin exactlywhat a girl wants what a girl needs whatever keeps me in your arms and im thankin you for bein there for mea weaker man might have walked away but you had faith strong enough to move over and give me space while i got it together yeah while i figured it outthey say if you love somethin let it go if it comes back its yours and thats how you know its for keeps yeah its for sure and youre ready and willin to give me more thanwhat a girl wants what a girl needs whatever makes me happy sets you free and im thankin you for givin it to mewhat a girl wants what a girl needs whatever keeps me in your arms and im thankin you for bein there for me oh baby oh darlin i thank you thank you oh yeahi found me somebody sensitive and tough somebody down when the goin gets rough every night hell be givin his love to just warm down warm down warmsomebody cool somebody tender too somebody baby just like you can keep me hangin around with the one who always knewwhat a girl wants what a girl needs whatever makes me happy sets you free ooh im thankin you for bein there for mewhat a girl wants what a girl needs whatever keeps me in your arms whatever keeps me in your arms is what i needwhat a girl wants what a girl needs whatever makes me happy sets you free and im thankin you for givin it to mewhat a girl wants what a girl needs whatever keeps me in your arms and im thankin you for bein therewhat you got is what i need all that you want what i want oh yeahoh baby oh darlin i thank you thank you for givin me what i need and for what i want oh yeahincomprehensible whenever youre not there incomprehensible oh yeah a girl wants ,2000
back at one,brian mcknight, its undeniable that we should be together its unbelievable how i used to say that id fall never the basis is need to know if you dont know just how i feel then let me show you now that im for real if all things in time time will revealone youre like a dream come true two just want to be with you three girl its plain to see that youre the only one for me and four repeat steps one through three five make you fall in love with me if ever i believe my work is done then ill start back at oneits so incredible the way things work themselves out and all emotional once you know what its all about hey and undesirable for us to be apart i never would have made it very far cause you know youve got the keys to my heartone youre like a dream come true two just want to be with you three girl its plain to see that youre the only one for me and four repeat steps one through three five make you fall in love with me if ever i believe my work is done then ill start back at onesay farewell to the dark of night i see the coming of the sun i feel like a little child whose life has just begun you came and breathed new life into this lonely heart of mine you threw out of the lifeline just in the nick of timeone youre like a dream come true two just want to be with you three girl its plain to see that youre the only one for me and four repeat steps one through three five make you fall in love with me if ever i believe my work is done then ill start back at one ,2000
you sang to me,marc anthony, i just wanted you to comfort me when i called you late last night you see i was falling into love yes i was crashing into love of all the words you said to me about life the truth and being free yeah you sang to me oh how you sang to megirl i live for how you make me feel so i question all this being real cause im not afraid to love for the first time im not afraid of love this day seems made for you and me and you showed me what life needs to be yeah you sang to me oh you sang to meall the while you were in front of me i never realized i just cant believe i didnt see it in your eyes i didnt see it i cant believe it oh but i feel it when you sing to mehow i long to hear you sing beneath the clear blue skies and i promise you this time ill see it in your eyes i didnt see it i cant believe it oh but i feel it when you sing to mejust to think you live inside of me i had no idea how this could be now im crazy for your love cant believe im crazy for your love the words you said just sang to me and you showed me where i want to be you sang to me oh you sang to meall the while you were in front of me i never realized i just cant believe i didnt see it in your eyes i didnt see it i cant believe it oh but i feel it when you sing to mehow i long to hear you sing beneath the clear blue skies and i promise you this time ill see it in your eyes i didnt see it i cant believe it oh but i feel it when you sing to meall the while you were in front of me i never realized i just cant believe i didnt see it in your eyes i didnt see it i cant believe it oh but i feel it when you sing to mehow i long to hear you sing beneath the clear blue skies and i promise you this time ill see it in your eyes i didnt see it i cant believe it oh but i feel it when you sing to meall the while you were in front of me i never realized i just cant believe i didnt see it in your eyes i didnt see it i cant believe it oh but i feel it when you sing to mehow i long to hear you sing beneath the clear blue skies and i promise you this time ill see it in your eyes i didnt see it i cant believe it oh but i feel it ,2000
